Species,WNV,WNV_main
Aedes.aegypti,1,0
Aedes.albopictus,1,0
Aedes.atropalpus,1,0
Aedes.dupreei,0,0
Aedes.infirmatus,0,0
Aedes.sollicitans,1,0
Aedes.taeniorhynchus,1,0
Aedes.tortilis,0,0
Aedes.triseriatus,1,0
Aedes.vexans.sensu.lato,1,0
Anopheles.albimanus,0,0
Anopheles.atropos,0,0
Anopheles.barberi,0,0
Anopheles.perplexens,0,0
Anopheles.punctipennis,0,0
Anopheles.quadrimaculatus,0,0
Coquillettidia.perturbans,1,0
Culex.coronator,1,0
Culex.erraticus,0,0
Culex.iolambdis,0,0
Culex.nigripalpus,1,1
Culex.quinquefasciatus,1,1
Culex.restuans,1,0
Culex.salinarius,1,0
Culex.tarsalis,1,0
Culex.territans,0,0
Culiseta.inornata,1,0
Culiseta.melanura,0,0
Mansonia.dyari,0,0
Mansonia.titillans,0,0
Orthopodomyia.alba,0,0
Psorophora.ciliata,0,0
Psorophora.columbiae,0,0
Psorophora.cyanescens,0,0
Psorophora.ferox,0,0
Psorophora.horrida,0,0
Psorophora.howardii,0,0
Uranotaenia.lowii,0,0
Uranotaenia.sapphirina,0,0
Wyeomyia.mitchellii,0,0
Wyeomyia.vanduzeei,0,0
Anopheles.crucians.complex2,0,0
Aedes.atlanticus.tormentor.morphological.group2,0,0
Aedes.mathesoni.complex2,1,0
Aedes.fulvus2,0,0
