FID,Lat_final,Long_final,n,ID_final
120,27.64,-82.553,9315,s1
90,27.5695,-82.5932,3427,s10
94,27.574,-82.504,4051,s11
99,27.578,-82.484,9400,s12
86,27.565,-82.4803,3708,s13
88,27.565,-82.425,9397,s14
96,27.575,-82.42,9802,s15
98,27.5776,-82.3548,3554,s16
92,27.5709,-82.1378,3427,s17
82,27.549,-82.353,162,s18
84,27.554,-82.546,2188,s19
113,27.616,-82.535,8829,s2
78,27.532,-82.6282,4056,s20
74,27.529,-82.588,2187,s21
76,27.531,-82.5824,1344,s22
71,27.516,-82.538,2106,s23
72,27.5161,-82.468,1344,s24
70,27.513,-82.432,2349,s25
66,27.5031,-82.6574,3643,s26
68,27.5111,-82.6835,2393,s27
52,27.476,-82.613,2268,s28
58,27.489,-82.592,2191,s29
115,27.628,-82.497,9074,s3
50,27.4751,-82.5513,3565,s30
62,27.49,-82.534,2270,s31
44,27.47,-82.524,2431,s32
54,27.4813,-82.4804,3622,s33
56,27.485,-82.402,2430,s34
60,27.4894,-82.3617,6757,s35
49,27.475,-82.324,2511,s36
64,27.4982,-82.3103,4080,s37
63,27.4967,-82.3086,3917,s38
46,27.471,-82.17,4941,s39
117,27.639,-82.417,2106,s4
26,27.427,-82.133,2106,s40
40,27.464,-82.304,5429,s41
24,27.427,-82.377,2026,s42
28,27.4358,-82.3911,1158,s43
18,27.4195,-82.4262,3713,s44
34,27.4424,-82.4358,1344,s45
31,27.439,-82.439,2025,s46
20,27.42,-82.48,2755,s47
38,27.449,-82.499,2511,s48
23,27.427,-82.525,2430,s49
107,27.603,-82.098,1944,s5
32,27.4394,-82.5489,3643,s50
36,27.4472,-82.6205,3606,s51
42,27.4685,-82.6843,3652,s52
10,27.407,-82.504,2511,s53
12,27.408,-82.304,2836,s54
16,27.4122,-82.2876,11449,s55
14,27.4081,-82.2603,3650,s56
7,27.35,-82.158,5023,s57
5,27.3471,-82.2435,13312,s58
3,27.287,-82.23,2187,s59
110,27.613,-82.124,1863,s6
1,27.273,-82.1165,3402,s60
81,27.5333,-82.5657,3597,s61
104,27.591,-82.2,2107,s7
106,27.603,-82.536,8831,s8
102,27.5909,-82.548,12812,s9
